"Update Cookie Settings","Cookie-Einstellungen aktualisieren"
"Cookie Settings","Cookie-Einstellungen"
"Learn more","Mehr Information"
"Necessary cookies","Notwendige Cookies"
"Preferences cookies","Präferenz-Cookies"
"Toggle me","Umschalten"
"Statistic cookies","Statistik-Cookies"
"Marketing cookies","Marketing-Cookies"
"Customize","Anpassen"
"Accept all","Alle akzeptieren"
"Deny all","Alle ablehnen"
"Manage Settings","Einstellungen verwalten"
"Block all cookies","Alle Cookies blockieren"
"To use these Services, we need your consent. By clicking on “Accept all”, you declare your consent to the use of all Services. You can also declare your consent by individually clicking on the sliders for each category of cookies and save.","Zur Nutzung dieser Dienste benötigen wir Ihre Einwilligung. Indem Sie auf „Alle akzeptieren“ klicken, erklären Sie sich mit der Nutzung aller Dienste einverstanden. Sie können Ihre Einwilligung auch einzeln durch Anklicken der Schieberegler für jede Cookie-Kategorie erklären und speichern."
"Necessary cookies help make a website usable by enabling basic functions like page navigation and access to secure areas of the website. The website cannot function properly without these cookies.","Notwendige Cookies helfen dabei, eine Webseite nutzbar zu machen, indem sie Grundfunktionen wie Seitennavigation und Zugriff auf sichere Bereiche der Webseite ermöglichen. Die Webseite kann ohne diese Cookies nicht richtig funktionieren."
"Preference cookies enable a website to remember information that changes the way the website behaves or looks, like your preferred language or the region that you are in.","Präferenz-Cookies ermöglichen einer Webseite sich an Informationen zu erinnern, die die Art beeinflussen, wie sich eine Webseite verhält oder aussieht, wie z. B. Ihre bevorzugte Sprache oder die Region in der Sie sich befinden."
"Statistic cookies help website owners to understand how visitors interact with websites by collecting and reporting information anonymously.","Statistik-Cookies helfen Webseiten-Besitzern zu verstehen, wie Besucher mit Webseiten interagieren, indem Informationen anonym gesammelt und gemeldet werden."
"Marketing cookies are used to track visitors across websites. The intention is to display ads that are relevant and engaging for the individual user and thereby more valuable for publishers and third party advertisers.","Marketing-Cookies werden verwendet, um Besuchern auf Webseiten zu folgen. Die Absicht ist, Anzeigen zu zeigen, die relevant und ansprechend für den einzelnen Benutzer sind und daher wertvoller für Publisher und werbetreibende Drittparteien sind."
"We use our own cookies as well as third-party cookies on our websites to enhance your experience, analyze our traffic, and for security and marketing. Select ""Accept All"" to allow them to be used. Read our <a href=""%1"" class=""%2"">Cookie Policy</a>.","Wir verwenden auf unseren Websites eigene Cookies sowie Cookies von Drittanbietern, um Ihr Erlebnis zu verbessern, unseren Datenverkehr zu analysieren und aus Sicherheits- und Marketinggründen. Wählen Sie „Alle akzeptieren“, um ihre Verwendung zuzulassen. Lesen Sie unsere <a href=""%1"" class=""%2"">Cookie-Richtlinie</a>."