"Update Cookie Settings","Aggiorna impostazioni cookie"
"Cookie Settings","Impostazioni cookie"
"Learn more","Scorpi di più"
"Necessary cookies","Cookie necessari"
"Preferences cookies","Cookie di preferenza"
"Toggle me","Attivami"
"Statistic cookies","Cookie statistici"
"Marketing cookies","Cookie di marketing"
"Customize","Personalizzare"
"Accept all","Accetta tutto"
"Deny all","Rifiuta tutto"
"Manage Settings","Gestisci impostazioni"
"Block all cookies","Blocca tutti i cookie"
"To use these Services, we need your consent. By clicking on “Accept all”, you declare your consent to the use of all Services. You can also declare your consent by individually clicking on the sliders for each category of cookies and save.","Per utilizzare questi servizi, abbiamo bisogno del tuo consenso. Facendo clic su ""Accetta tutto"", dichiari il tuo consenso all'uso di tutti i servizi. Puoi anche dichiarare il tuo consenso facendo clic individualmente sui cursori per ogni categoria di cookie e salvando."
"Necessary cookies help make a website usable by enabling basic functions like page navigation and access to secure areas of the website. The website cannot function properly without these cookies.","I cookie necessari contribuiscono a rendere fruibile il sito web abilitandone funzionalità di base quali la navigazione sulle pagine e l'accesso alle aree protette del sito. Il sito web non è in grado di funzionare correttamente senza questi cookie."
"Preference cookies enable a website to remember information that changes the way the website behaves or looks, like your preferred language or the region that you are in.","I cookie di preferenza consentono al sito web di memorizzare informazioni che ne influenzano il comportamento o l'aspetto, quali la lingua preferita o la località nella quale ti trovi."
"Statistic cookies help website owners to understand how visitors interact with websites by collecting and reporting information anonymously.","I cookie statistici aiutano i proprietari del sito web a capire come i visitatori interagiscono con i siti raccogliendo e trasmettendo informazioni in forma anonima."
"Marketing cookies are used to track visitors across websites. The intention is to display ads that are relevant and engaging for the individual user and thereby more valuable for publishers and third party advertisers.","I cookie di marketing vengono utilizzati per tracciare i visitatori sui siti web. La finalità è quella di presentare annunci pubblicitari che siano rilevanti e coinvolgenti per il singolo utente e quindi di maggior valore per editori e inserzionisti di terze parti."
"We use our own cookies as well as third-party cookies on our websites to enhance your experience, analyze our traffic, and for security and marketing. Select ""Accept All"" to allow them to be used. Read our <a href=""%1"" class=""%2"">Cookie Policy</a>.","Utilizziamo i nostri cookie e quelli di terze parti sui nostri siti web per migliorare la tua esperienza, analizzare il nostro traffico e per sicurezza e marketing. Seleziona ""Accetta tutto"" per consentirne l'utilizzo. Leggi la nostra <a href=""%1"" class=""%2"">Politica sui cookie</a>."