"Update Cookie Settings","Aktualizuj ustawienia plików cookie"
"Cookie Settings","Ustawienia plików cookie"
"Learn more","Dowiedz się więcej"
"Necessary cookies","Niezbędne pliki cookie"
"Preferences cookies","Preferencyjne pliki cookie"
"Toggle me","Przełącz mnie"
"Statistic cookies","Statystyczne pliki cookie"
"Marketing cookies","Marketingowe pliki cookie"
"Customize","Dostosuj"
"Accept all","Zaakceptuj wszystkie"
"Deny all","Odrzuć wszystkie"
"Manage Settings","Zarządzaj ustawieniami"
"Block all cookies","Zablokuj wszystkie pliki cookie"
"To use these Services, we need your consent. By clicking on “Accept all”, you declare your consent to the use of all Services. You can also declare your consent by individually clicking on the sliders for each category of cookies and save.","Aby korzystać z tych usług, potrzebujemy Twojej zgody. Klikając „Zaakceptuj wszystkie”, wyrażasz zgodę na korzystanie ze wszystkich usług. Możesz również wyrazić zgodę, klikając indywidualnie suwaki dla każdej kategorii plików cookie i zapisując."
"Necessary cookies help make a website usable by enabling basic functions like page navigation and access to secure areas of the website. The website cannot function properly without these cookies.","Niezbędne pliki cookie przyczyniają się do użyteczności strony poprzez umożliwianie podstawowych funkcji takich jak nawigacja na stronie i dostęp do bezpiecznych obszarów strony internetowej. Strona internetowa nie może funkcjonować poprawnie bez tych ciasteczek."
"Preference cookies enable a website to remember information that changes the way the website behaves or looks, like your preferred language or the region that you are in.","Pliki cookie dotyczące preferencji umożliwiają stronie zapamiętanie informacji, które zmieniają wygląd lub funkcjonowanie strony, np. preferowany język lub region, w którym znajduje się użytkownik."
"Statistic cookies help website owners to understand how visitors interact with websites by collecting and reporting information anonymously.","Statystyczne pliki cookie pomagają właścicielem stron internetowych zrozumieć, w jaki sposób różni użytkownicy zachowują się na stronie, gromadząc i zgłaszając anonimowe informacje."
"Marketing cookies are used to track visitors across websites. The intention is to display ads that are relevant and engaging for the individual user and thereby more valuable for publishers and third party advertisers.","Marketingowe pliki cookie stosowane są w celu śledzenia użytkowników na stronach internetowych. Celem jest wyświetlanie reklam, które są istotne i interesujące dla poszczególnych użytkowników i tym samym bardziej cenne dla wydawców i reklamodawców strony trzeciej."
"We use our own cookies as well as third-party cookies on our websites to enhance your experience, analyze our traffic, and for security and marketing. Select ""Accept All"" to allow them to be used. Read our <a href=""%1"" class=""%2"">Cookie Policy</a>.","Używamy własnych plików cookie, a także plików cookie stron trzecich na naszych stronach internetowych, aby poprawić Twoje wrażenia, analizować nasz ruch oraz w celach bezpieczeństwa i marketingu. Wybierz „Zaakceptuj wszystkie”, aby zezwolić na ich użycie. Przeczytaj naszą <a href=""%1"" class=""%2"">Politykę plików cookie</a>."